iter,id,x,y,h,w,cam_x,cam_y,cam_z,rxy,rxz
109,2,116,120,4,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0161592985915404,-0.16222644130127165
110,1,117,120,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0158508390873022,-0.17383277551436527
110,2,114,120,4,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0224505321825144,-0.165621741531981
111,1,116,124,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0197635362220567,-0.1462778581655805
111,2,114,123,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.025770490431458,-0.1614150070881851
111,3,117,122,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0161592985915404,-0.16222644130127165
111,4,115,120,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0222950890710816,-0.17150709438747247
112,1,114,130,4,5,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.020848887278182,-0.10464494896999077
113,1,116,137,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.021780339238961,-0.06849830309218168
114,1,115,143,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0257216589301477,-0.03897604832329017
114,2,117,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0190955470284644,-0.04936417569736891
115,1,117,140,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0189407421680015,-0.05539880531157514
115,2,114,140,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0252535576570976,-0.057356867935913255
116,1,115,136,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0247857222384413,-0.0756603620514493
116,2,112,134,4,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0309866012547886,-0.08409906376659106
117,1,112,134,4,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0309866012547886,-0.08409906376659106
118,1,112,137,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.031300804064661,-0.07175494970551159
119,1,113,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0314579498185317,-0.06556781613065307
119,2,110,139,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0410900049746759,-0.06883423780744996
120,1,110,147,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0391349575040827,-0.017210921434085872
121,1,113,150,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0331885046398517,0.0030124084091467614
121,2,114,148,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0265024185639293,-0.008202226683982754
122,1,113,146,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.03255879799615,-0.022019016605876286
122,2,110,146,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0391349575040827,-0.017210921434085872
123,1,109,143,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0449635997907558,-0.04439230819667869
123,2,110,141,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0414079904661206,-0.05616357963530342
124,1,108,137,1,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0407721378491162,-0.08146438524150278
124,2,108,134,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0467719606654864,-0.10303855934607223
125,1,110,137,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0375504486845752,-0.08026990992771516
125,2,108,134,3,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0436870855449525,-0.09535229916920573
126,1,111,137,5,3,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0346564298415777,-0.06664089061819828
126,2,109,137,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0440060365374784,-0.08267643234837473
127,1,110,142,3,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0352877114004577,-0.041625112464505926
128,1,112,149,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0362355211221974,-0.0038776368822043346
128,2,110,147,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0423626571531466,-0.017947798153599242
129,1,110,149,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0426811161250387,-0.005154675057793873
129,2,112,148,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0362355211221974,-0.0038776368822043346
130,1,110,143,3,4,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.035445605736972,-0.03535051280677435
130,2,109,142,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0448039319275344,-0.05079684120506932
131,1,108,139,2,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0444846849865996,-0.06357878960289746
132,1,110,134,1,2,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0370756729599453,-0.09899803003110644
132,2,108,132,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0464519849130733,-0.11572882132909162
133,1,108,130,4,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.0464519849130733,-0.11572882132909162
134,1,110,135,1,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.040454389087562,-0.09405020689919179
134,2,108,132,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.046611957991361,-0.10939045478891331
134,3,110,130,2,1,1.7147906079063474234,3.0742232681614269415,0.29634572283840944382,1.039819246648483,-0.11907403305001052
