iter,time,fps,numOfBall
198,2.462984449999567,83532.3840454807,2
199,2.4758150199995725,77938.86008178658,1
200,2.4865006190011627,93583.89734175747,1
201,2.4992807950002316,78246.18378282552,1
202,2.5095986790001916,96919.09697801156,1
203,2.5203266500011523,93214.27135759885,0
204,2.5341387810003653,72400.12421377854,2
205,2.5455451760008145,87670.11838189128,3
206,2.5566963220007892,89676.88164088874,1
207,2.5683609940006136,85728.9429154166,1
208,2.579300573999717,91411.18763992359,0
209,2.5905391850010346,88978.96723027066,0
210,2.601976519001255,87432.96295978935,1
211,2.6120335870000417,99432.55828842273,2
212,2.623692230001325,85773.27566252336,2
213,2.6336036890006653,100893.31954725689,2
214,2.644608288999734,90871.0902790298,2
215,2.657689183999537,76447.36847250005,2
216,2.6700558080010524,80862.81267041487,2
217,2.6823507429999154,81334.30555692039,2
218,2.6949527289998514,79352.57188867519,2
219,2.7070724580007663,82510.0957228092,2
220,2.7178379020006105,92889.80556811944,2
221,2.7293660899995302,86743.9011311843,4
222,2.7411932180002623,84551.38051588726,3
223,2.7520723859997815,91918.7937941751,1
224,2.7638718010002776,84749.9642955144,1
225,2.7749188030011283,90522.29735479358,1
226,2.78812108800048,75744.46393553048,2
227,2.7993241250005667,89261.51007019506,1
228,2.8117713760002516,80339.02425726884,4
229,2.8247942510006396,76787.95964563933,2
230,2.8374561190012173,78977.2883396334,3
231,2.850238447001175,78233.0104503128,2
232,2.8605596760007757,96887.68653797639,2
233,2.8736536050000723,76371.27099541458,2
234,2.8837203479997697,99336.99509663196,2
235,2.8964312950010935,78672.34438912013,3
236,2.9080840830010857,85816.37287151146,2
237,2.9195919650010183,86896.96331660845,4
238,2.9324461850010266,77795.46327971281,3
239,2.944892372999675,80345.88583336496,3
240,2.959256825999546,69616.29517037518,2
241,2.9726942859997507,74418.82617583708,2
242,2.9834420820006926,93042.33164756425,2
243,2.998094463000598,68248.29357129491,1
244,3.016150933000972,55381.8105077722,2
245,3.028349813001114,81974.73866358027,2
246,3.0410201989998313,78924.19379340367,2
247,3.0540178930004913,76936.7243104218,1
248,3.0646399470006145,94143.7503507706,1
249,3.079077315000177,69264.70254344902,0
250,3.091123965999941,83010.62262197041,0
251,3.104353963999529,75585.80130028416,2
252,3.1173508940009924,76941.24688579433,3
253,3.1279822970009263,94060.9626035449,2
254,3.1389831010001217,90902.44677326725,2
255,3.149274093000713,97172.36199800138,1
256,3.1601115009998466,92272.9863155422,0
257,3.171282319000966,89518.95912186659,1
258,3.181611721000081,96811.02546746102,1
259,3.1943202010006644,78687.6164540612,1
260,3.206826927000293,79956.97675232515,2
261,3.2183851010013313,86518.8566905254,0
262,3.2310477780010842,78972.24260079571,1
263,3.243440999000086,80689.27360212142,1
264,3.257320292001168,72049.77947522423,0
265,3.27013299400096,78047.55000282079,0
266,3.2825022320012067,80845.7238821062,2
267,3.294611248000365,82583.09346271596,3
268,3.307713715999853,76321.49912818537,2
269,3.3194712280001113,85052.00759973879,2
270,3.331200605000049,85256.01999196563,1
271,3.3429551660010475,85073.36002723247,1
272,3.351660067000921,114877.81423528143,1
273,3.3608106749998115,109282.35589605266,2
274,3.3734341990002576,79217.18214063313,2
275,3.384689956001239,88843.42473925321,1
276,3.3978545760000998,75961.17473094777,3
277,3.410013542001252,82243.83552887893,2
278,3.424011496001185,71439.01173019857,3
279,3.436654568000449,79094.70103928923,4
280,3.4489129209996463,81577.02752282459,2
281,3.4623116650000156,74633.86120164959,3
282,3.474568507001095,81587.08416996311,1
283,3.4867032270012714,82408.16434045932,1
284,3.4967486250006914,99548.07167000682,0
285,3.5082906330007972,86640.03698410442,0
286,3.5194393120000314,89696.72551059171,2
287,3.5301310300001205,93530.33815441636,4
288,3.5426096099999995,80137.32331801346,1
289,3.5550845180005126,80160.91180462972,2
290,3.5673525590009376,81512.60661464672,1
291,3.579468576999716,82535.36765138817,1
292,3.590998682000645,86729.4790393843,2
293,3.6027688430003764,84960.60504379173,1
294,3.6152527680005733,80103.01247277818,0
295,3.627137044000847,84144.79771228672,0
296,3.6406817540009797,73829.56150336089,0
297,3.649323904999619,115711.93330889921,0
298,3.658322985000268,111122.47028895003,0
299,3.666374803000508,124195.55434191269,0
300,3.6760848710000573,102985.89052583618,0
301,3.684009517000959,126188.60197492928,0
302,3.6923268720001943,120230.53002931178,0
303,3.700035707999632,129721.27050996273,0
304,3.7098978009998973,101398.35428170253,0
305,3.7194009800005006,105227.94529457136,0
306,3.73302177900041,73417.13213789133,0
307,3.749904491000052,59232.18971106025,0
308,3.7647660479997285,67287.70074506827,0
309,3.780203952001102,64775.63274852719,0
310,3.7983010600000853,55257.44776768698,0
311,3.815508031000718,58115.98101509177,0
312,3.836204072000328,48318.419934462116,2
313,3.861487363001288,39551.81309118437,1
314,3.8770109200013394,64418.22579687702,1
315,3.8874491210008273,95801.94901871128,4
316,3.8992940580010327,84424.25653953753,2
317,3.9111681300000782,84217.10766789864,1
318,3.922040774001289,91973.94855277693,1
319,3.933820274000027,84893.24675131546,2
320,3.946396180001102,79517.13378857274,2
321,3.9601158590012346,72888.00269965026,3
322,3.9727734719999717,79003.83746127963,0
323,3.9834852650001267,93355.05269617596,0
324,3.9959741330003453,80071.30830292168,0
325,4.007861158999731,84125.33126887195,0
326,4.0188521159998345,90983.88793537891,0
327,4.030768184000408,83920.29988011795,0
328,4.040668760000699,101004.2243977122,0
329,4.048620395000398,125760.29961609343,0
330,4.057097859000351,117959.80496120373,0
331,4.065117881000333,124687.93726528334,0
332,4.073929010999564,113492.82102151705,0
333,4.082108882001194,122251.31665288111,0
334,4.090583287001209,118002.38482798301,0
335,4.098166468000272,131870.78089307615,0
336,4.107837591000134,103400.60818317441,0
337,4.115827513000113,125157.66737180279,0
338,4.125115277000077,107668.54110460296,0
339,4.132919769999717,128131.32128457211,0
340,4.143807963000654,91842.60417811302,0
341,4.156205766999847,80659.44582323843,0
342,4.167727555000965,86792.08469231566,0
343,4.177583221000532,101464.47739239331,0
344,4.186915210000734,107158.29176163166,0
345,4.201186305999727,70071.70297716341,0
346,4.216428937001183,65605.47190996534,0
347,4.229191176000313,78356.15678942807,0
348,4.243265778999557,71049.96141302864,0
349,4.2517599260008865,117728.12500696376,0
350,4.2604384910009685,115226.4228003765,0
351,4.268617505000293,122264.1262238439,0
352,4.277120217000629,117609.53445917954,0
353,4.285099156000797,125329.94674842847,0
354,4.293278758999804,122255.32218634074,0
355,4.3008793120006885,131569.37394998234,0
356,4.309275225001329,119105.56956982569,0
357,4.316826918000515,132420.6373468499,0
